"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode"
"148","LIPTON GREEN TEA 190/-","12","PCS","190.0","140.0","1680.0","Beverages","140.0","35.71","50.0","600.0","187.5","185.0","33.93","32.14","","","","","","","8901030779282.0"
"149","LIZOL 1L FLORAL 246/-","16","PCS","246.0","223.64","3220.42","Home Care","201.28","22.22","44.72","715.52","243.76","241.53","21.1","20.0","","","","","","","8901396137016.0"
"150","LIZOL 500ML CITRUS 123/-","12","PCS","123.0","111.82","1234.49","Home Care","102.87","19.57","20.13","241.56","121.99","120.99","18.59","17.61","","","","","","","8901396112006.0"
"151","LIZOL 500ML FLORAL 123/-","12","PCS","123.0","111.82","1234.49","Home Care","102.87","19.57","20.13","241.56","121.99","120.99","18.59","17.61","","","","","","","8901396113003.0"
"152","LIZZAT PAPAD MASALA 89/-","21","PCS","89.0","90.48","1900.0","Food & Grocery","90.48","-1.64","-1.48","-31.08","89.07","89.15","-1.56","-1.47","","","","","","","8901441017010.0"
"153","LOTTE CHOCOPIE 180/-","12","PCS","180.0","177.78","1600.0","Confectionery","133.33","1.25","2.22","19.98","171.0","162.0","1.19","1.12","","","","","","","8901123003720.0"
"154","LUX SET 500GM PINK 170/-","30","PCS","170.0","157.41","4344.52","Personal Care","144.82","17.39","25.18","755.4","168.74","167.48","16.52","15.65","","","","","","","8909106023413.0"
"155","LUX SET 500GM WHITE 170/-","30","PCS","170.0","157.41","4344.52","Personal Care","144.82","17.39","25.18","755.4","168.74","167.48","16.52","15.65","","","","","","","8909106023468.0"
"156","LUX SOAP SET 10/- PINK","54","PCS","40.0","10.0","1840.0","Personal Care","34.0","0.0","0.0","0.0","38.0","36.0","0.0","0.0","","","","","","","8909106038288.0"
"157","LUX SOAP SET 10/- WHITE","54","PCS","40.0","10.0","1840.0","Personal Care","34.0","0.0","0.0","0.0","38.0","36.0","0.0","0.0","","","","","","","8909106038301.0"
"158","MADHU SUDAN JAR 450ML","15","PCS","345.0","540.0","8100.0","Food & Grocery","540.0","-36.11","-195.0","-2925.0","354.75","364.5","-34.31","-32.5","","","","","","","8906017815069.0"
