"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Sell_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode","Barcode_Clean"
"57","DETTOL LIQUID 110ML","96","PCS","80.52","80.52","6415.83","Healthcare","66.83","73.0","20.48","13.69","1314.24","79.84","79.15","19.47","18.43","","","","","","","8901400000000","8901400000000"
"58","DETTOL POUCH 1L","15","PCS","109.0","99.09","1458.6","Healthcare","91.16","99.0","19.57","17.84","285.44","108.11","107.22","18.59","17.62","","","","","","","8901400000000","8901400000000"
"59","DETTOL POUCH 140/-","20","PCS","140.0","127.27","2341.77","Healthcare","117.09","127.0","19.57","22.91","458.2","138.85","137.71","18.58","17.61","","","","","","","8901400000000","8901400000000"
"60","DETTOL PUMP 129/-","23","PCS","129.0","117.27","2589.32","Healthcare","107.89","117.0","19.57","21.11","506.64","127.94","126.89","18.58","17.61","","","","","","","8901400000000","8901400000000"
"61","DETTOL SOAP 195/- ORIGINAL","35","PCS","195.0","180.56","5785.14","Personal Care","160.7","175.0","21.34","34.3","1234.8","193.28","191.57","20.27","19.21","","","","","","","8901400000000","8901400000000"
"62","DETTOL SOAP 195/- COOL","35","PCS","195.0","180.56","5785.14","Personal Care","160.7","175.0","21.34","34.3","1234.8","193.28","191.57","20.27","19.21","","","","","","","8901400000000","8901400000000"
"63","DETTOL SOAP BIG 232/- COOL","30","PCS","232.0","214.81","5735.43","Personal Care","191.18","208.0","21.35","40.82","1224.6","229.96","227.92","20.28","19.22","","","","","","","8901400000000","8901400000000"
"64","DETTOL SOAP BIG 232/- ORIGINAL","27","PCS","232.0","214.81","5735.43","Personal Care","191.18","208.0","21.35","40.82","1224.6","229.96","227.92","20.28","19.22","","","","","","","8901400000000","8901400000000"
"65","DOVE POUCH 5/-","384","PCS","5.0","2.99","1150.0","Personal Care","2.99","4.0","67.22","2.01","771.84","4.9","4.8","63.88","60.54","","","","","","","8909110000000","8909110000000"
"66","DOVE POUCH 2/-","640","PCS","2.0","2.0","1280.0","Personal Care","2.0","2.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","","","","","","","8901030000000","8901030000000"
"67","DOVE SET 160/-","22","PCS","160.0","148.15","3271.15","Personal Care","136.3","146.0","17.39","23.7","568.8","158.82","157.63","16.52","15.65","","","","","","","8901030000000","8901030000000"
"68","DOVE SET 249/-","20","PCS","249.0","199.0","3980.0","Personal Care","199.0","219.0","25.13","50.0","1000.0","246.5","244.0","23.87","22.61","","","","","","","8901030000000","8901030000000"
"69","DOVE SHAMPOO 200ML HF","9","PCS","246.0","223.64","1811.48","Personal Care","201.28","220.0","22.22","44.72","402.48","243.76","241.53","21.1","20.0","","","","","","","",""
"70","DOVE SHAMPOO 100ML HR","24","PCS","102.0","92.73","2002.97","Personal Care","83.46","91.0","22.21","18.54","444.96","101.07","100.15","21.1","20.0","","","","","","","8909110000000","8909110000000"
"71","DOVE SHAMPOO 400ML HF","15","PCS","490.0","300.0","4500.0","Personal Care","300.0","376.0","63.33","190.0","2850.0","480.5","471.0","60.17","57.0","","","","","","","8909110000000","8909110000000"
"72","DOVE SHAMPOO 400ML DS","3","PCS","490.0","300.0","900.0","Personal Care","300.0","376.0","63.33","190.0","570.0","480.5","471.0","60.17","57.0","","","","","","","8909110000000","8909110000000"
"73","DOVE SHAMPOO 200ML DS","9","PCS","246.0","223.64","1811.48","Personal Care","201.28","220.0","22.22","44.72","402.48","243.76","241.53","21.1","20.0","","","","","","","8909110000000","8909110000000"
"74","DOVE SOAP 25/-","72","PCS","25.0","23.15","1583.46","Personal Care","21.99","24.0","13.69","3.01","216.72","24.85","24.7","13.01","12.32","","","","","","","8901030000000","8901030000000"
"75","DOVE SOAP 65/-","60","PCS","65.0","60.19","3322.49","Personal Care","55.37","60.0","17.39","9.63","577.8","64.52","64.04","16.53","15.66","","","","","","","8901030000000","8901030000000"
"76","DURACELL AA 22/-","78","PCS","22.0","19.87","1550.0","Electronics","19.87","21.0","10.72","2.13","166.14","21.89","21.79","10.17","9.66","","","","","","","5000390000000","5000390000000"
"77","DURACELL AAA 22/-","70","PCS","22.0","22.14","1550.0","Electronics","22.14","23.0","-0.63","-0.14","-9.8","22.01","22.01","-0.59","-0.59","","","","","","","5000390000000","5000390000000"
"78","ENO POUCH 11/-","490","PCS","11.0","11.02","5400.0","Healthcare","11.02","12.0","-0.18","-0.02","-9.8","11.0","11.0","-0.18","-0.18","","","","","","","8901570000000","8901570000000"
"79","EVEREADY PENCIL AA 18/-","65","PCS","18.0","17.91","1200.0","Electronics","17.91","18.0","0.5","0.09","6.03","18.0","17.99","0.5","0.45","","","","","","","8901690000000","8901690000000"
"80","EVEREADY AAA 18/-","64","PCS","18.0","17.88","1180.0","Electronics","17.88","18.0","0.67","0.12","7.92","17.99","17.99","0.62","0.62","","","","","","","8901690000000","8901690000000"
"81","EXO TUB 500GM","36","PCS","60.0","55.56","1660.13","Home Care","46.11","52.0","30.12","13.89","500.04","59.31","58.61","28.63","27.11","","","","","","","8902100000000","8902100000000"
"82","EZEE 500GM","23","PCS","120.0","111.11","2506.64","Home Care","104.44","111.0","14.9","15.56","373.44","119.22","118.44","14.15","13.4","","","","","","","8901020000000","8901020000000"
"83","FAIR & HANDSOME 40/-","39","PCS","40.0","40.0","1360.0","Personal Care","34.0","37.0","17.65","6.0","240.0","39.7","39.4","16.76","15.88","","","","","","","8901250000000","8901250000000"
"84","FAIR LOVELY 50GM 130/-","24","PCS","130.0","118.18","2666.14","Personal Care","111.09","119.0","17.02","18.91","453.84","129.05","128.11","16.17","15.32","","","","","","","8909110000000","8909110000000"
"85","FAIR LOVELY 80GM 199/-","18","PCS","199.0","180.91","3061.0","Personal Care","170.06","182.0","17.02","28.94","520.92","197.55","196.11","16.16","15.32","","","","","","","8909110000000","8909110000000"
"86","FAIR LOVELY 25GM 70/-","32","PCS","70.0","63.64","1934.66","Personal Care","60.46","65.0","15.78","9.54","305.28","69.52","69.05","14.99","14.21","","","","","","","8909110000000","8909110000000"
"87","FIAMA SET 449/-","18","PCS","449.0","275.0","4950.0","Personal Care","275.0","345.0","63.27","174.0","3132.0","440.3","431.6","60.11","56.95","","","","","","","8905110000000","8905110000000"
"88","FIGARO 100ML 189/-","12","PCS","189.0","189.0","1814.4","Personal Care","151.2","167.0","25.0","37.8","453.6","187.11","185.22","23.75","22.5","","","","","","","8410130000000","8410130000000"
"89","FIGARO 50ML 109/-","12","PCS","109.0","109.0","1046.4","Personal Care","87.2","96.0","25.0","21.8","261.6","107.91","106.82","23.75","22.5","","","","","","","8410130000000","8410130000000"
"90","FOAM 418GM GREEN","5","PCS","275.0","220.0","1320.0","Home Care","220.0","242.0","25.0","55.0","330.0","272.25","269.5","23.75","22.5","","","","","","","4987180000000","4987180000000"
"91","FOAM 418GM RED","5","PCS","275.0","220.0","1320.0","Home Care","220.0","242.0","25.0","55.0","330.0","272.25","269.5","23.75","22.5","","","","","","","4987180000000","4987180000000"
"92","GARNIER 1NO DEEP BLACK","60","PCS","45.0","32.5","1950.0","Personal Care","32.5","38.0","38.46","12.5","750.0","44.38","43.75","36.55","34.62","","","","","","","8901530000000","8901530000000"
"93","GARNIER 2NO ORIGINAL BLACK","60","PCS","45.0","32.5","1950.0","Personal Care","32.5","38.0","38.46","12.5","750.0","44.38","43.75","36.55","34.62","","","","","","","8901530000000","8901530000000"
"94","GARNIER 3.16 BURGUNDY","60","PCS","45.0","32.5","1950.0","Personal Care","32.5","38.0","38.46","12.5","750.0","44.38","43.75","36.55","34.62","","","","","","","8901530000000","8901530000000"
"95","GARNIER 3NO BROWN BLACK","30","PCS","45.0","32.5","975.0","Personal Care","32.5","38.0","38.46","12.5","375.0","44.38","43.75","36.55","34.62","","","","","","","8901530000000","8901530000000"
"96","GARNIER F.W ACNO 125/-","36","PCS","125.0","125.0","3285.0","Personal Care","91.25","105.0","36.99","33.75","1215.0","123.31","121.62","35.13","33.28","","","","","","","8901530000000","8901530000000"
"97","GARNIER F.W DOUBLE ACTION 50ML","32","PCS","139.0","139.0","3652.92","Personal Care","101.47","117.0","36.99","37.53","1351.08","137.12","135.25","35.13","33.29","","","","","","","8901530000000","8901530000000"
"98","GILLETE GUARD BLADE 14/-","83","PCS","14.0","13.98","1160.0","Personal Care","13.98","14.0","0.14","0.02","1.66","14.0","14.0","0.14","0.14","","","","","","","4987180000000","4987180000000"
